Support Confidence Acc1 Acc2 Acc3 Acc4 Fmeasure1 Fmeasure2 TrainTime TestTime
8.0 65 0.786819991154 0.782323455698 0.802742149491 0.78929677134 0.714903657098 0.679224973089 526.050595999 16.3867309093
8.0 70 0.781070322866 0.778269202418 0.795223352499 0.784284240012 0.714003164557 0.681743571038 555.144015074 16.5267460346
8.0 75 0.771340114993 0.766917293233 0.786819991154 0.774406604747 0.709225535321 0.671906415646 399.449093103 16.160063982
8.0 80 0.756302521008 0.753280259472 0.768686421937 0.759803921569 0.706745465661 0.676560121766 219.355967045 16.083988905
8.0 85 0.741264927023 0.739127229839 0.752321981424 0.745650891936 0.702277432712 0.683723676442 327.846769094 16.5145661831
8.0 90 0.716939407342 0.715833701902 0.722246793454 0.718487394958 0.693401230639 0.678571428571 20.3219769001 16.1671330929
8.0 60 0.793011941619 0.787225416482 0.812472357364 0.799130178387 0.709615012575 0.651846899549 30.5189878941 16.3635079861
9.0 65 0.785493144626 0.78025947221 0.799646174259 0.785168804364 0.710397493636 0.675156950673 436.752717972 16.3032259941
9.0 70 0.781954887218 0.777458351762 0.794338788147 0.780414270972 0.711023622047 0.676097207109 20.7997329235 16.2380440235
9.0 75 0.764705882353 0.759914492113 0.776647501106 0.764123544155 0.704140828166 0.668512366187 18.0318648815 16.2985010147
9.0 80 0.742591773552 0.739422084623 0.7527642636 0.743808049536 0.698027937551 0.670665634675 18.5488541126 16.1995851994
9.0 85 0.737284387439 0.734556980687 0.744360902256 0.737689812767 0.70103950104 0.681809125324 15.1783931255 16.269256115
9.0 90 0.704113224237 0.703449800973 0.708536045997 0.706324635117 0.686950932076 0.671517671518 14.8425130844 16.1321890354
9.0 60 0.789473684211 0.782544596786 0.803626713843 0.789554769276 0.708026366809 0.650973751058 19.9218399525 16.2141339779
10.0 65 0.786819991154 0.781512605042 0.800530738611 0.785072976559 0.714482216545 0.673348845534 14.8815770149 16.1518411636
10.0 70 0.78283945157 0.777274067522 0.795223352499 0.779161138139 0.712398974966 0.672211173386 15.001502037 16.1858181953
10.0 75 0.763821318001 0.759398496241 0.775320654578 0.763489606369 0.706331658291 0.670758928571 13.570483923 16.1481778622
10.0 80 0.737726669615 0.735367831343 0.746572313136 0.737616099071 0.694615700781 0.665377923835 14.5350630283 16.1438829899
10.0 85 0.721804511278 0.720440807902 0.726227333038 0.722062509214 0.6949758251 0.674071082391 12.1562919617 16.0798308849
10.0 90 0.708093763821 0.707430340557 0.711189739054 0.708093763821 0.691500749304 0.674254966887 12.1830399036 16.2529158592
10.0 60 0.788589119858 0.78320802005 0.804511278195 0.790881615804 0.710116731518 0.670266504093 15.263021946 16.1567809582
7.0 65 0.791242812915 0.786856848002 0.807607253428 0.793424738316 0.715234375 0.667362560891 669.863892078 16.413479805
7.0 70 0.783281733746 0.779559192098 0.799203892083 0.787048503612 0.713581707077 0.674410293066 492.531469107 16.3897621632
7.0 75 0.77620521893 0.771524399233 0.791685095091 0.780429013711 0.709383058917 0.675862068966 526.986284971 16.5524299145
7.0 80 0.772224679345 0.768981276721 0.784608580274 0.775379625534 0.714199638482 0.683364485981 321.12015605 16.3865060806
7.0 85 0.739938080495 0.737136960047 0.747899159664 0.74226006192 0.700684505289 0.675436874141 390.672719002 16.5804870129
7.0 90 0.714727996462 0.712958867758 0.72047766475 0.716718266254 0.691017201104 0.673628173628 30.4590010643 16.2700660229
7.0 60 0.799646174259 0.793085655315 0.817779743476 0.804511278195 0.71217641419 0.664533512967 54.7706410885 16.8495988846
