7 60 0.5798319328 0.5695488722 0.5931003981 0.5806575262 0.5458231955 0.5306671794 1.7413978577 0.9271011353
8 60 0.4754533392 0.4716939407 0.4789915966 0.474789916 0.486559747 0.4744206384 1.3747019768 0.7042880058
9 60 0.4604157452 0.45731977 0.4626271561 0.4590888987 0.48320593 0.4749603444 1.1537678242 0.5234670639
10 60 0.4175143742 0.4175143742 0.4192835029 0.4188412207 0.4623287671 0.4546107784 0.8227338791 0.4277060032
         
         
7 60 0.7969924812 0.7893262568 0.8252985405 0.8072091995 0.7013531542 0.6437449556 14.1201660633 9.5298089981
8 60 0.7837240159 0.7755049388 0.8155683326 0.7988353236 0.6900383142 0.6557431868 10.8144199848 9.2785909176
9 60 0.7620521893 0.7544965355 0.7903582486 0.7741412354 0.6773818745 0.6393695391 9.0848450661 9.2361888886
10 60 0.7505528527 0.7439186201 0.778858912 0.7646690255 0.6718780535 0.6364744818 6.979626894 9.0894560814
         
         
7 60 0.7996461743 0.7930856553 0.8177797435 0.8045112782 0.7121764142 0.664533513 54.7706410885 16.8495988846
8 60 0.7930119416 0.7872254165 0.8124723574 0.7991301784 0.7096150126 0.6518468995 30.5189878941 16.3635079861
9 60 0.7894736842 0.7825445968 0.8036267138 0.7895547693 0.7080263668 0.6509737511 19.9218399525 16.2141339779
10 60 0.7885891199 0.7832080201 0.8045112782 0.7908816158 0.7101167315 0.6702665041 15.263021946 16.1567809582
