Support	Confidence	Acc1	Acc2	Acc3	Acc4	Fmeasure1	Fmeasure2	TrainTime	TestTime
8.0	65	0.461300309598	0.460636886333	0.465280849182	0.463954002654	0.486385850593	0.461673236969	1.37771320343	0.6832280159
8.0	70	0.49226006192	0.491375497567	0.49668288368	0.495134896064	0.497767857143	0.458622095393	1.36592388153	0.796929836273
8.0	75	0.481645289695	0.480981866431	0.486068111455	0.484741264927	0.49433620299	0.455429162358	1.38838100433	0.774470090866
8.0	80	0.457319770013	0.456877487837	0.461300309598	0.460415745245	0.484112149533	0.455040278685	1.55955791473	0.740451097488
8.0	85	0.40645731977	0.406236178682	0.409111012826	0.408447589562	0.457867263236	0.446854663774	1.30823087692	0.659687042236
8.0	90	0.313135780628	0.313135780628	0.313135780628	0.313135780628	0.385096546097	0.385096546097	1.19029808044	0.608668088913
8.0	60	0.47545333923	0.471693940734	0.478991596639	0.474789915966	0.486559747007	0.474420638391	1.37470197678	0.704288005829
9.0	65	0.487394957983	0.486289252543	0.489606368863	0.488058381247	0.494075564498	0.453894909017	1.16414403915	0.608681917191
9.0	70	0.482529854047	0.481424148607	0.484741264927	0.483193277311	0.495354634036	0.455696202532	1.33523321152	0.587898015976
9.0	75	0.471472799646	0.470588235294	0.473684210526	0.472357363998	0.491712707182	0.452360876897	1.14266204834	0.569296121597
9.0	80	0.432994250332	0.432551968156	0.435205661212	0.43432109686	0.469265725903	0.440375167485	1.10120296478	0.528336048126
9.0	85	0.397611676249	0.397169394073	0.398496240602	0.397832817337	0.453219315895	0.441997063142	1.1046359539	0.497059106827
9.0	90	0.308712958868	0.308712958868	0.308712958868	0.308712958868	0.381525006832	0.381525006832	0.951084136963	0.46616101265
9.0	60	0.460415745245	0.457319770013	0.462627156126	0.459088898717	0.483205930044	0.474960344437	1.15376782417	0.523467063904
10.0	65	0.47545333923	0.475011057054	0.477222467935	0.476337903582	0.491436401005	0.455407969639	0.963350057602	0.485313892365
10.0	70	0.472357363998	0.47213622291	0.474126492702	0.473463069438	0.4928538497	0.457179377929	0.965247154236	0.474210977554
10.0	75	0.445820433437	0.445820433437	0.447589562141	0.447147279965	0.478539245909	0.449822380107	0.959139823914	0.456989049911
10.0	80	0.401592215834	0.401592215834	0.403361344538	0.402919062362	0.450334406738	0.431067044381	0.950649023056	0.420110940933
10.0	85	0.371074745688	0.371074745688	0.371517027864	0.371517027864	0.437044745057	0.432168550874	0.928143978119	0.399734020233
10.0	90	0.307828394516	0.307828394516	0.307828394516	0.307828394516	0.380639868745	0.380639868745	0.801224946976	0.381769895554
10.0	60	0.417514374171	0.417514374171	0.419283502875	0.418841220699	0.462328767123	0.454610778443	0.822733879089	0.427706003189
7.0	65	0.445378151261	0.444493586908	0.450243255197	0.449137549757	0.474154135338	0.472222222222	1.50515604019	0.831555843353
7.0	70	0.447589562141	0.447147279965	0.452454666077	0.451570101725	0.48079658606	0.471264367816	1.67140412331	0.818690061569
7.0	75	0.482972136223	0.482308712959	0.490490933215	0.489164086687	0.496261046907	0.457895820465	2.11102294922	1.0108320713
7.0	80	0.47545333923	0.474789915966	0.482529854047	0.481203007519	0.496542185339	0.462254176359	1.68050384521	0.923429012299
7.0	85	0.433878814684	0.433657673596	0.439628482972	0.43874391862	0.481173594132	0.471172022684	1.63712692261	0.850049972534
7.0	90	0.414418398939	0.414197257851	0.417514374171	0.417293233083	0.475082216038	0.471232876712	1.57502889633	0.771488189697
7.0	60	0.579831932773	0.56954887218	0.593100398054	0.580657526168	0.545823195458	0.530667179389	1.74139785767	0.927101135254
